ending date,leave taken
09-04-2010,0
16-04-2010,0
23-04-2010,0
30-04-2010,-1.5
07-05-2010,0
14-05-2010,0
21-05-2010,0
28-05-2010,-1.5
04-06-2010,6.5
11-06-2010,-2
18-06-2010,-2
25-06-2010,24
02-07-2010,7
09-07-2010,7
16-07-2010,-0.5
23-07-2010,-2
30-07-2010,-1.5
06-08-2010,-0.5
13-08-2010,0
20-08-2010,-1
27-08-2010,-1
03-09-2010,-0.5
10-09-2010,6
17-09-2010,0.5
24-09-2010,-0.5
01-10-2010,4
08-10-2010,-1
15-10-2010,25
22-10-2010,0
29-10-2010,-1
05-11-2010,-2
12-11-2010,0
19-11-2010,-0.5
26-11-2010,16
03-12-2010,-0.5
10-12-2010,1
17-12-2010,-0.5
24-12-2010,8
31-12-2010,17
07-01-2011,8
14-01-2011,0
21-01-2011,6
28-01-2011,9.5
04-02-2011,0
11-02-2011,-2
18-02-2011,-2
25-02-2011,3.5
04-03-2011,0
11-03-2011,1
18-03-2011,-4.5
25-03-2011,-3
01-04-2011,-1
08-04-2011,-3
15-04-2011,-1
22-04-2011,8
29-04-2011,0
06-05-2011,0
13-05-2011,0
20-05-2011,0
27-05-2011,-0.5
03-06-2011,7.5
10-06-2011,-0.5
17-06-2011,5
24-06-2011,-1
01-07-2011,2.5
08-07-2011,10
15-07-2011,-1
22-07-2011,0
29-07-2011,16
05-08-2011,40
12-08-2011,12
19-08-2011,4.5
26-08-2011,0
02-09-2011,0
09-09-2011,7
16-09-2011,-1
23-09-2011,1
30-09-2011,-1
07-10-2011,-1
14-10-2011,9.5
21-10-2011,-1.5
28-10-2011,0
04-11-2011,0
11-11-2011,3
18-11-2011,0
25-11-2011,17
02-12-2011,2
09-12-2011,1
16-12-2011,1.5
23-12-2011,4
30-12-2011,40
06-01-2012,8
13-01-2012,-1
20-01-2012,6.5
27-01-2012,3.5
03-02-2012,-2
10-02-2012,-0.5
17-02-2012,0.5
24-02-2012,12
02-03-2012,0
09-03-2012,-1
16-03-2012,-1
23-03-2012,1
30-03-2012,2
06-04-2012,6
13-04-2012,3.5
20-04-2012,-1
27-04-2012,1
04-05-2012,5
11-05-2012,-1.5
18-05-2012,2
25-05-2012,2.5
01-06-2012,8
08-06-2012,1
15-06-2012,0
22-06-2012,15
29-06-2012,8
06-07-2012,8
13-07-2012,13
20-07-2012,-2
27-07-2012,1
03-08-2012,-1
10-08-2012,3
17-08-2012,0
24-08-2012,-0.5
31-08-2012,10
07-09-2012,6.5
14-09-2012,3
21-09-2012,2.5
28-09-2012,7
05-10-2012,0
12-10-2012,-14
19-10-2012,-24
26-10-2012,4
02-11-2012,13
09-11-2012,3
16-11-2012,-1
23-11-2012,20
30-11-2012,-0.5
07-12-2012,10
14-12-2012,-1
21-12-2012,0
28-12-2012,17
04-01-2013,16
11-01-2013,7
18-01-2013,8
25-01-2013,8
01-02-2013,0
08-02-2013,0
15-02-2013,0
22-02-2013,14
01-03-2013,0
08-03-2013,6.5
15-03-2013,0
22-03-2013,1
29-03-2013,8
05-04-2013,0
12-04-2013,2
19-04-2013,4
26-04-2013,2.5
03-05-2013,0
10-05-2013,0
17-05-2013,8
24-05-2013,1
31-05-2013,10.5
07-06-2013,15.5
14-06-2013,0
21-06-2013,4.5
28-06-2013,0
05-07-2013,26
12-07-2013,0
19-07-2013,0
26-07-2013,0
02-08-2013,16
09-08-2013,0
16-08-2013,5.5
23-08-2013,40
